==76403== NVPROF is profiling process 76403, command: mm_offload 32 300
==76403== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==76403== Profiling application: mm_offload 32 300
==76403== Profiling result:
==76403== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched          32          32          32          32
          1                              inst_issued0     4737621     4737621     4737621     4737621
          1                              inst_issued1      269096      269096      269096      269096
          1                             inst_executed      268968      268968      268968      268968
          1                      thread_inst_executed    25112192    25112192    25112192    25112192
          1   not_predicated_off_thread_inst_executed    24301032    24301032    24301032    24301032
          1                             active_cycles     1262586     1262586     1262586     1262586
          1                              active_warps    10484684    10484684    10484684    10484684
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched           8           8           8           8
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load       13184       13184       13184       13184
          1                             generic_store        4520        4520        4520        4520
          1                               global_load           0           0           0           0
          1                              global_store           0           0           0           0
          1                                local_load        4672        4672        4672        4672
          1                               local_store        4736        4736        4736        4736
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions          96          96          96          96
          1                    shared_st_transactions          72          72          72          72
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm     1331508     1331508     1331508     1331508
          1                           active_warps_pm     5007316     5007316     5007316     5007316
          1                         elapsed_cycles_pm    14048888    14048888    14048888    14048888
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0         512         512         512         512
          1                inst_executed_fp64_pipe_s1         512         512         512         512
          1                inst_executed_fp64_pipe_s2         512         512         512         512
          1                inst_executed_fp64_pipe_s3         512         512         512         512
          1                 inst_executed_fma_pipe_s0        2858        2858        2858        2858
          1                 inst_executed_fma_pipe_s1        2860        2860        2860        2860
          1                 inst_executed_fma_pipe_s2        2864        2864        2864        2864
          1                 inst_executed_fma_pipe_s3        2858        2858        2858        2858
          1              tensor_pipe_active_cycles_s0           0           0           0           0
          1              tensor_pipe_active_cycles_s1           0           0           0           0
          1              tensor_pipe_active_cycles_s2           0           0           0           0
          1              tensor_pipe_active_cycles_s3           0           0           0           0
          1                      pcie_tx_active_pulse           0           0           0           0
          1                      pcie_rx_active_pulse           0           0           0           0
          1                         active_cycles_sys      162155      162155      162155      162155
          1                        elapsed_cycles_sys      162155      162155      162155      162155
    Kernel: __omp_offloading_2f_13046cf_main_l64
          1                     fb_subp0_read_sectors         564         564         564         564
          1                     fb_subp1_read_sectors         406         406         406         406
          1                    fb_subp0_write_sectors       13413       13413       13413       13413
          1                    fb_subp1_write_sectors       13345       13345       13345       13345
          1              l2_subp0_write_sector_misses       13630       13630       13630       13630
          1              l2_subp1_write_sector_misses       13685       13685       13685       13685
          1               l2_subp0_read_sector_misses         496         496         496         496
          1               l2_subp1_read_sector_misses         474         474         474         474
          1          l2_subp0_read_tex_sector_queries        1740        1740        1740        1740
          1          l2_subp1_read_tex_sector_queries        1744        1744        1744        1744
          1         l2_subp0_write_tex_sector_queries       24640       24640       24640       24640
          1         l2_subp1_write_tex_sector_queries       24640       24640       24640       24640
          1             l2_subp0_read_tex_hit_sectors        1419        1419        1419        1419
          1             l2_subp1_read_tex_hit_sectors        1424        1424        1424        1424
          1            l2_subp0_write_tex_hit_sectors       12928       12928       12928       12928
          1            l2_subp1_write_tex_hit_sectors       12928       12928       12928       12928
          1        l2_subp0_total_read_sector_queries        2366        2366        2366        2366
          1        l2_subp1_total_read_sector_queries        2778        2778        2778        2778
          1       l2_subp0_total_write_sector_queries       24648       24648       24648       24648
          1       l2_subp1_total_write_sector_queries       24657       24657       24657       24657
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         503         503         503         503
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm    13324176    13324176    13324176    13324176
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched          32          32          32          32
          1                              inst_issued0     4730133     4730133     4730133     4730133
          1                              inst_issued1      269104      269104      269104      269104
          1                             inst_executed      268968      268968      268968      268968
          1                      thread_inst_executed    25112192    25112192    25112192    25112192
          1   not_predicated_off_thread_inst_executed    24301032    24301032    24301032    24301032
          1                             active_cycles     1264158     1264158     1264158     1264158
          1                              active_warps    10523172    10523172    10523172    10523172
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched           8           8           8           8
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load       13184       13184       13184       13184
          1                             generic_store        4520        4520        4520        4520
          1                               global_load           0           0           0           0
          1                              global_store           0           0           0           0
          1                                local_load        4672        4672        4672        4672
          1                               local_store        4736        4736        4736        4736
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions          96          96          96          96
          1                    shared_st_transactions          72          72          72          72
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm     1266223     1266223     1266223     1266223
          1                           active_warps_pm     4999834     4999834     4999834     4999834
          1                         elapsed_cycles_pm    13331300    13331300    13331300    13331300
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0         512         512         512         512
          1                inst_executed_fp64_pipe_s1         512         512         512         512
          1                inst_executed_fp64_pipe_s2         512         512         512         512
          1                inst_executed_fp64_pipe_s3         512         512         512         512
          1                 inst_executed_fma_pipe_s0        2860        2860        2860        2860
          1                 inst_executed_fma_pipe_s1        2862        2862        2862        2862
          1                 inst_executed_fma_pipe_s2        2858        2858        2858        2858
          1                 inst_executed_fma_pipe_s3        2860        2860        2860        2860
          1              tensor_pipe_active_cycles_s0           0           0           0           0
          1              tensor_pipe_active_cycles_s1           0           0           0           0
          1              tensor_pipe_active_cycles_s2           0           0           0           0
          1              tensor_pipe_active_cycles_s3           0           0           0           0
          1                      pcie_tx_active_pulse           0           0           0           0
          1                      pcie_rx_active_pulse           0           0           0           0
          1                         active_cycles_sys      153935      153935      153935      153935
          1                        elapsed_cycles_sys      153935      153935      153935      153935

==76403== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                             inst_per_warp                                            Instructions per warp  2.4898e+04  2.4898e+04  2.4898e+04
          1                         branch_efficiency                                                Branch Efficiency      99.68%      99.68%      99.68%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      98.50%      98.50%      98.50%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      95.31%      95.31%      95.31%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.000476    0.000476    0.000476
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    4.000000    4.000000    4.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.294118    4.294118    4.294118
          1              gst_transactions_per_request                            Global Store Transactions Per Request    8.000000    8.000000    8.000000
          1                 shared_store_transactions                                        Shared Store Transactions          72          72          72
          1                  shared_load_transactions                                         Shared Load Transactions          96          96          96
          1                   local_load_transactions                                          Local Load Transactions       75392       75392       75392
          1                  local_store_transactions                                         Local Store Transactions       49024       49024       49024
          1                          gld_transactions                                         Global Load Transactions        9344        9344        9344
          1                          gst_transactions                                        Global Store Transactions         256         256         256
          1                  sysmem_read_transactions                                  System Memory Read Transactions           1           1           1
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions        5296        5296        5296
          1                     l2_write_transactions                                            L2 Write Transactions       49305       49305       49305
          1                    dram_read_transactions                                  Device Memory Read Transactions        1014        1014        1014
          1                   dram_write_transactions                                 Device Memory Write Transactions       26947       26947       26947
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      73.08%      73.08%      73.08%
          1                            local_hit_rate                                                   Local Hit Rate      80.57%      80.57%      80.57%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  2.3151GB/s  2.3151GB/s  2.3151GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  71.702MB/s  71.702MB/s  71.702MB/s
          1                            gld_throughput                                           Global Load Throughput  2.5558GB/s  2.5558GB/s  2.5558GB/s
          1                            gst_throughput                                          Global Store Throughput  71.702MB/s  71.702MB/s  71.702MB/s
          1                     local_memory_overhead                                            Local Memory Overhead      95.09%      95.09%      95.09%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate      60.73%      60.73%      60.73%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      80.86%      80.86%      80.86%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      52.47%      52.47%      52.47%
          1                      dram_read_throughput                                    Device Memory Read Throughput  284.01MB/s  284.01MB/s  284.01MB/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  7.3706GB/s  7.3706GB/s  7.3706GB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  25.619GB/s  25.619GB/s  25.619GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  936.61MB/s  936.61MB/s  936.61MB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  13.479GB/s  13.479GB/s  13.479GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  1.4486GB/s  1.4486GB/s  1.4486GB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  13.486GB/s  13.486GB/s  13.486GB/s
          1                    sysmem_read_throughput                                    System Memory Read Throughput  286.81KB/s  286.81KB/s  286.80KB/s
          1                   sysmem_write_throughput                                   System Memory Write Throughput  1.4004MB/s  1.4004MB/s  1.4004MB/s
          1                     local_load_throughput                                     Local Memory Load Throughput  20.621GB/s  20.621GB/s  20.621GB/s
          1                    local_store_throughput                                    Local Memory Store Throughput  13.409GB/s  13.409GB/s  13.409GB/s
          1                    shared_load_throughput                                    Shared Memory Load Throughput  107.55MB/s  107.55MB/s  107.55MB/s
          1                   shared_store_throughput                                   Shared Memory Store Throughput  80.665MB/s  80.665MB/s  80.665MB/s
          1                            gld_efficiency                                    Global Memory Load Efficiency      90.58%      90.58%      90.58%
          1                            gst_efficiency                                   Global Memory Store Efficiency     100.00%     100.00%     100.00%
          1                    tex_cache_transactions                     Unified cache to Multiprocessor transactions       23416       23416       23416
          1                             flop_count_dp                      Floating Point Operations(Double Precision)       65536       65536       65536
          1                         flop_count_dp_add                  Floating Point Operations(Double Precision Add)       32768       32768       32768
          1                         flop_count_dp_fma                  Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                  Floating Point Operations(Double Precision Mul)       32768       32768       32768
          1                             flop_count_sp                      Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                  Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                  Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                   Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special              Floating Point Operations(Single Precision Special)        6144        6144        6144
          1                             inst_executed                                            Instructions Executed      268968      268968      268968
          1                               inst_issued                                              Instructions Issued      269096      269096      269096
          1                          dram_utilization                                        Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1                        sysmem_utilization                                        System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                         Issue Stall Reasons (Instructions Fetch)       4.09%       4.09%       4.09%
          1                     stall_exec_dependency                       Issue Stall Reasons (Execution Dependency)      79.04%      79.04%      79.04%
          1                   stall_memory_dependency                               Issue Stall Reasons (Data Request)      16.69%      16.69%      16.69%
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.02%       0.02%       0.02%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.00%       0.00%       0.00%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.15%       0.15%       0.15%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       0.00%       0.00%       0.00%
          1                         shared_efficiency                                         Shared Memory Efficiency       1.34%       1.34%       1.34%
          1                                inst_fp_32                                          FP Instructions(Single)        6144        6144        6144
          1                                inst_fp_64                                          FP Instructions(Double)       65536       65536       65536
          1                              inst_integer                                             Integer Instructions     2254104     2254104     2254104
          1                          inst_bit_convert                                         Bit-Convert Instructions       12288       12288       12288
          1                              inst_control                                        Control-Flow Instructions      302216      302216      302216
          1                        inst_compute_ld_st                                          Load/Store Instructions      873512      873512      873512
          1                                 inst_misc                                                Misc Instructions     4904032     4904032     4904032
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots      269096      269096      269096
          1                                 cf_issued                                 Issued Control-Flow Instructions       13192       13192       13192
          1                               cf_executed                               Executed Control-Flow Instructions       13192       13192       13192
          1                               ldst_issued                                   Issued Load/Store Instructions       29888       29888       29888
          1                             ldst_executed                                 Executed Load/Store Instructions       29888       29888       29888
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)        3344        3344        3344
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)       0.00%       0.00%       0.00%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)       49280       49280       49280
          1             nvlink_total_data_transmitted                                    NVLink Total Data Transmitted        7904        7904        7904
          1                nvlink_total_data_received                                       NVLink Total Data Received        6048        6048        6048
          1              nvlink_user_data_transmitted                                     NVLink User Data Transmitted         960         960         960
          1                 nvlink_user_data_received                                        NVLink User Data Received        2464        2464        2464
          1          nvlink_overhead_data_transmitted                                 NVLink Overhead Data Transmitted      87.85%      87.85%      87.85%
          1             nvlink_overhead_data_received                                    NVLink Overhead Data Received      59.26%      59.26%      59.26%
          1      nvlink_total_nratom_data_transmitted                             NVLink Total Nratom Data Transmitted           0           0           0
          1       nvlink_user_nratom_data_transmitted                              NVLink User Nratom Data Transmitted           0           0           0
          1       nvlink_total_ratom_data_transmitted                              NVLink Total Ratom Data Transmitted           0           0           0
          1        nvlink_user_ratom_data_transmitted                               NVLink User Ratom Data Transmitted           0           0           0
          1       nvlink_total_write_data_transmitted                              NVLink Total Write Data Transmitted         576         576         576
          1        nvlink_user_write_data_transmitted                               NVLink User Write Data Transmitted         192         192         192
          1                nvlink_transmit_throughput                                       NVLink Transmit Throughput  69.181MB/s  69.181MB/s  69.181MB/s
          1                 nvlink_receive_throughput                                        NVLink Receive Throughput  52.936MB/s  52.936MB/s  52.936MB/s
          1       nvlink_total_response_data_received                              NVLink Total Response Data Received        3008        3008        3008
          1        nvlink_user_response_data_received                               NVLink User Response Data Received        1888        1888        1888
          1                             flop_count_hp                        Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                    Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                     Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                    Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                            HP Instructions(Half)           0           0           0
          1                                       ipc                                                     Executed IPC    0.303593    0.303593    0.303593
          1                                issued_ipc                                                       Issued IPC    0.212582    0.212582    0.212582
          1                    issue_slot_utilization                                           Issue Slot Utilization       5.31%       5.31%       5.31%
          1                             sm_efficiency                                          Multiprocessor Activity       9.86%       9.86%       9.86%
          1                        achieved_occupancy                                               Achieved Occupancy    0.062423    0.062423    0.062423
          1                  eligible_warps_per_cycle                                  Eligible Warps Per Active Cycle    0.212582    0.212582    0.212582
          1                        shared_utilization                                        Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                            l2_utilization                                             L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                           tex_utilization                                        Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization                             Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                           Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1             half_precision_fu_utilization                         Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                       Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                       Double-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        flop_hp_efficiency                                       FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                     FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                     FLOP Efficiency(Peak Double)       0.01%       0.01%       0.01%
          1                   sysmem_read_utilization                                   System Memory Read Utilization     Low (1)     Low (1)     Low (1)
          1                  sysmem_write_utilization                                  System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1       nvlink_data_transmission_efficiency                              NVLink Data Transmission Efficiency       0.02%       0.02%       0.02%
          1            nvlink_data_receive_efficiency                                   NVLink Data Receive Efficiency       0.01%       0.01%       0.01%
          1                            stall_sleeping                                   Issue Stall Reasons (Sleeping)       0.00%       0.00%       0.00%
          1               pcie_total_data_transmitted                                      PCIe Total Data Transmitted           0           0           0
          1                  pcie_total_data_received                                         PCIe Total Data Received           0           0           0
          1                inst_executed_global_loads                         Warp level instructions for global loads        2176        2176        2176
          1                 inst_executed_local_loads                          Warp level instructions for local loads       18848       18848       18848
          1                inst_executed_shared_loads                         Warp level instructions for shared loads          96          96          96
          1               inst_executed_surface_loads                        Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                        Warp level instructions for global stores          32          32          32
          1                inst_executed_local_stores                         Warp level instructions for local stores       12256       12256       12256
          1               inst_executed_shared_stores                        Warp level instructions for shared stores          72          72          72
          1              inst_executed_surface_stores                       Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics             Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                    Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics            Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                   Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics             Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                              Warp level instructions for texture           0           0           0
          1                           dram_read_bytes                           Total bytes read from DRAM to L2 cache       32448       32448       32448
          1                          dram_write_bytes                        Total bytes written from L2 cache to DRAM      862304      862304      862304
          1                      global_load_requests         Total number of global load requests from Multiprocessor        2176        2176        2176
          1                       local_load_requests          Total number of local load requests from Multiprocessor       18848       18848       18848
          1                     surface_load_requests        Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests        Total number of global store requests from Multiprocessor          32          32          32
          1                      local_store_requests         Total number of local store requests from Multiprocessor       12256       12256       12256
          1                    surface_store_requests       Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests       Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests    Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests      Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests   Total number of surface reduction requests from Multiprocessor           0           0           0
          1                      l2_global_load_bytes             Bytes read from L2 for misses in L1 for global loads       74496       74496       74496
          1                       l2_local_load_bytes              Bytes read from L2 for misses in L1 for local loads       32000       32000       32000
          1                     l2_surface_load_bytes            Bytes read from L2 for misses in L1 for surface loads           0           0           0
          1              l2_global_atomic_store_bytes                   Bytes written to L2 from L1 for global atomics           0           0           0
          1               l2_local_global_store_bytes         Bytes written to L2 from L1 for local and global stores.     1576960     1576960     1576960
          1                    l2_surface_store_bytes           Bytes read from L2 for misses in L1 for surface stores           0           0           0
          1                         sysmem_read_bytes                                         System Memory Read Bytes          32          32          32
          1                        sysmem_write_bytes                                        System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                L2 Cache Hit Rate      54.27%      54.27%      54.27%
          1                     texture_load_requests        Total number of texture Load requests from Multiprocessor           0           0           0
          1           tensor_precision_fu_utilization                       Tensor-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
    Kernel: __omp_offloading_2f_13046cf_main_l64
          1                             inst_per_warp                                            Instructions per warp  2.4898e+04  2.4898e+04  2.4898e+04
          1                         branch_efficiency                                                Branch Efficiency      99.68%      99.68%      99.68%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      98.50%      98.50%      98.50%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      95.31%      95.31%      95.31%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.000506    0.000506    0.000506
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    4.000000    4.000000    4.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.294118    4.294118    4.294118
          1              gst_transactions_per_request                            Global Store Transactions Per Request    8.000000    8.000000    8.000000
          1                 shared_store_transactions                                        Shared Store Transactions          72          72          72
          1                  shared_load_transactions                                         Shared Load Transactions          96          96          96
          1                   local_load_transactions                                          Local Load Transactions       75392       75392       75392
          1                  local_store_transactions                                         Local Store Transactions       49024       49024       49024
          1                          gld_transactions                                         Global Load Transactions        9344        9344        9344
          1                          gst_transactions                                        Global Store Transactions         256         256         256
          1                  sysmem_read_transactions                                  System Memory Read Transactions           1           1           1
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions        5144        5144        5144
          1                     l2_write_transactions                                            L2 Write Transactions       49305       49305       49305
          1                    dram_read_transactions                                  Device Memory Read Transactions         970         970         970
          1                   dram_write_transactions                                 Device Memory Write Transactions       27315       27315       27315
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      73.08%      73.08%      73.08%
          1                            local_hit_rate                                                   Local Hit Rate      80.45%      80.45%      80.45%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  2.3163GB/s  2.3163GB/s  2.3163GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  71.741MB/s  71.741MB/s  71.741MB/s
          1                            gld_throughput                                           Global Load Throughput  2.5572GB/s  2.5572GB/s  2.5572GB/s
          1                            gst_throughput                                          Global Store Throughput  71.741MB/s  71.741MB/s  71.741MB/s
          1                     local_memory_overhead                                            Local Memory Overhead      95.10%      95.10%      95.10%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate      60.63%      60.63%      60.63%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      81.60%      81.60%      81.60%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      52.47%      52.47%      52.47%
          1                      dram_read_throughput                                    Device Memory Read Throughput  271.83MB/s  271.83MB/s  271.83MB/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  7.4753GB/s  7.4753GB/s  7.4753GB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  25.633GB/s  25.633GB/s  25.633GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  976.35MB/s  976.35MB/s  976.35MB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  13.486GB/s  13.486GB/s  13.486GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  1.4078GB/s  1.4078GB/s  1.4078GB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  13.493GB/s  13.493GB/s  13.493GB/s
          1                    sysmem_read_throughput                                    System Memory Read Throughput  286.96KB/s  286.96KB/s  286.95KB/s
